symptom,symptom_kriol,description_en,common_causes_en,advice_en,description_kriol,common_causes_kriol,advice_kriol
fever,feva,Feeling hot or having a high temperature,Infection or flu,Drink water and rest. Seek care if fever lasts more than 3 days.,"Yu body feelim hot, laik yu gat fever.",Sik o flu,Drink plenti watta an rest. Go klinik if fever go moa den tri dei.
runny nose,nose ron,Nose discharges mucus,Cold or allergy,Rest and drink fluids. Use tissues and stay warm.,Nose bin ron wit snot.,Kol o dust allergy,Rest an drink watta. Kepa yu body warm.
headache,hed pain,Pain in the head or temples,"Stress, dehydration, or flu",Rest and drink water.,Yu hed bin pain o laik bom bom.,Stress o no drink watta o flu,Rest an drink plenti watta.
cough,kof,Air expelled from lungs repeatedly,"Cold, flu, or asthma",Drink warm fluids and avoid smoking.,Yu cough plenti from flu o dust.,Flu o asthma o kol,Drink hot tea an no smoke.
sore throat,troat sore,Pain or irritation in the throat,Infection or flu,Gargle warm salt water. Stay hydrated.,Troat bin sore o scratchi.,Flu o infection,Gargle wit salt watta an drink plenti.
stomach pain,bel pain,Pain or discomfort in the belly,Food issue or infection,Eat light food and drink water.,Bel bin pain from kai kai o sik.,Food bin rong o infection,Kai kai smol an drink watta.
dizziness,hed spin,Feeling lightheaded or off balance,Low blood pressure or tiredness,"Sit or lie down, drink water, and rest.",Yu feelim laik spin.,Low blud presha o taiya,"Sidown, drink watta, an rest."
fatigue,taiya,Feeling tired or lacking energy,"Stress, poor sleep, or anemia",Rest and maintain regular meals.,Yu feelim taiya o no gat energy.,Stress o no slip gud o anemia,Rest gud an kai kai propali.
shortness of breath,breath short,Difficulty breathing,Asthma or heart issue,Rest and get fresh air. Seek help if severe.,Yu breath hard o short.,Asthma o heart sik,Rest an go klinik if bad.
leg swelling,leg swel,Swelling in one or both legs,Injury or kidney/heart problem,Elevate legs and rest.,Leg bin swel from sik o heart.,Kidney o heart problem,Lift leg an rest.
chest pain,chest bin pain,Pain or tightness in the chest,Heart issue or muscle strain,Rest and seek medical care if severe.,Yu chest bin pain o tait.,Heart sik o muscle strain,Rest an go klinik kwik.
back pain,bak sore,Pain in lower or upper back,Heavy lifting or poor posture,Use warm compress and rest.,Bak bin sore from lif hevi o wok longtaim.,Lif hevi o wok longtaim,Rest an put hot watta botol.
itchy skin,skin itchy,Skin feels scratchy or irritated,Allergy or dryness,Use lotion and avoid scratching.,Skin bin itchy o dry.,Allergy o dry skin,Yus lotion an no scratch.
rash,skin red rash,Red or bumpy skin patch,Allergy or infection,Keep skin clean and dry.,Skin gat red rash.,Allergy o infection,Kleenim skin an keep dry.
vomiting,spiu kai kai,Throwing up food or liquid,Food poisoning or infection,Drink water slowly and rest.,Yu bin spiu kai kai.,Food poison o sik,Drink watta smol smol an rest.
nausea,bel bug,Feeling sick or want to vomit,Stomach bug or stress,Eat bland food and rest.,Yu feelim laik spiu.,Bel bug o stress,Kai kai smol an rest.
ear pain,ear sore,Pain inside or around the ear,Ear infection or wax buildup,Keep ear dry. See doctor if pain continues.,Yu ear bin sore.,Ear infection o wax,Keep ear dry an no put samting insaid.
eye pain,eye sore,Pain or irritation in the eye,Infection or dryness,Rest eyes and avoid rubbing.,Yu eye bin sore o red.,Infection o dry eye,"No rub eye, rest an go klinik if bad."
blurry vision,eye bluri,Seeing unclear or fuzzy,Eye strain or diabetes,Rest eyes and get an eye check.,Yu eye lukim bluri.,Eye strain o sugar sik,Rest an checkup la eye doktor.
joint pain,joint bin pain,Pain or stiffness in joints,Arthritis or overuse,Stretch gently and rest.,Yu joint bin pain.,Arthritis o wok tu moch,Stretch smol an rest.
sweating,swet plenti,Excess sweating even when not hot,Fever or stress,Drink water and rest.,Yu swet plenti.,Fever o stress,Drink watta an rest.
chills,body kol kol,Feeling cold with shivering,Fever or infection,Keep warm and rest.,Yu body bin kol kol an shake.,Fever o infection,Kepa warm an rest.
loss of appetite,no laik kai kai,Not wanting to eat,Stress or stomach illness,Try small meals and drink fluids.,Yu no laik kai kai.,Stress o bel sik,Kai kai smol smol an drink watta.
constipation,no go toilet,Hard or difficult bowel movement,Low fiber diet or dehydration,"Eat fruit, drink water, and walk.",Yu no go toilet gud.,No fiber o no drink watta,Kai kai fruit an drink plenti watta.
diarrhea,toilet wet,Frequent watery stools,Infection or food issue,Drink fluids and avoid oily food.,Yu go toilet plenti wet.,Infection o rong kai kai,Drink watta an no kai kai oil kai kai.
burning urination,pee hot,Pain or burn when peeing,Urinary infection,Drink lots of water and see doctor.,Yu pee bin hot o pain.,Urine infection,Drink plenti watta an go klinik.
body aches,body bin pain,General muscle pain,Flu or tiredness,Rest and stay hydrated.,Yu body bin pain allova.,Flu o taiya,Rest an drink watta.
insomnia,no slip gud,Difficulty sleeping,Stress or caffeine,Avoid screens before bed and relax.,Yu no slip gud.,Stress o drink coffee tu moch,No luk phone an rest gud.
anxiety,wari,Feeling nervous or worried,Stress or lack of rest,Practice breathing and talk to someone.,Yu feelim wari o stres.,Stress o no rest gud,Breathe deep an tok wit fren.
sneezing,sneez plenti,Expelling air through the nose repeatedly,Cold or allergy,Rest and stay away from dust.,Yu sneez plenti.,Kol o allergy,Rest an no go long dusty ples.
dehydration,no drink watta plenti,Not enough water in the body,Heat or illness,Drink water and rest.,Yu no drink watta plenti.,Hot weatha o sik,Drink plenti watta an rest smol.
