symptom,symptom_kriol,description_en,common_causes_en,advice_en,description_kriol,common_causes_kriol,advice_kriol
fever,feva,"Feeling hot or having a high temperature This can mean your body is reacting to changes or showing early signs of something affecting fever. If it continues or becomes stronger, it’s worth paying attention.","Infection or flu — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Drink water and rest. Seek care if fever lasts more than 3 days. Try to rest, eat light meals, and stay hydrated. If fever keeps coming back or gets worse, please visit your local clinic or doctor for proper care.","Yu body feelim hot, laik yu gat fever. Diswan showim dat yu body bin chenj o stat sik smol long feva. Yu mas lukluk gud if im no go wey o kam bak gen.","Sik o flu — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Drink plenti watta an rest. Go klinik if fever go moa den tri dei. Rest smol, drink plenti watta, an no stress. If feva no go wey o kam bak strong, yu beta go luk doktor blong help yu."
runny nose,nose ron,"Nose discharges mucus This can mean your body is reacting to changes or showing early signs of something affecting runny nose. If it continues or becomes stronger, it’s worth paying attention.","Cold or allergy — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Rest and drink fluids. Use tissues and stay warm. Try to rest, eat light meals, and stay hydrated. If runny nose keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Nose bin ron wit snot. Diswan showim dat yu body bin chenj o stat sik smol long nose ron. Yu mas lukluk gud if im no go wey o kam bak gen.,"Kol o dust allergy — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Rest an drink watta. Kepa yu body warm. Rest smol, drink plenti watta, an no stress. If nose ron no go wey o kam bak strong, yu beta go luk doktor blong help yu."
headache,hed pain,"Pain in the head or temples This can mean your body is reacting to changes or showing early signs of something affecting headache. If it continues or becomes stronger, it’s worth paying attention.","Stress, dehydration, or flu — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Rest and drink water. Try to rest, eat light meals, and stay hydrated. If headache keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu hed bin pain o laik bom bom. Diswan showim dat yu body bin chenj o stat sik smol long hed pain. Yu mas lukluk gud if im no go wey o kam bak gen.,"Stress o no drink watta o flu — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Rest an drink plenti watta. Rest smol, drink plenti watta, an no stress. If hed pain no go wey o kam bak strong, yu beta go luk doktor blong help yu."
cough,kof,"Air expelled from lungs repeatedly This can mean your body is reacting to changes or showing early signs of something affecting cough. If it continues or becomes stronger, it’s worth paying attention.","Cold, flu, or asthma — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Drink warm fluids and avoid smoking. Try to rest, eat light meals, and stay hydrated. If cough keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu cough plenti from flu o dust. Diswan showim dat yu body bin chenj o stat sik smol long kof. Yu mas lukluk gud if im no go wey o kam bak gen.,"Flu o asthma o kol — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Drink hot tea an no smoke. Rest smol, drink plenti watta, an no stress. If kof no go wey o kam bak strong, yu beta go luk doktor blong help yu."
sore throat,troat sore,"Pain or irritation in the throat This can mean your body is reacting to changes or showing early signs of something affecting sore throat. If it continues or becomes stronger, it’s worth paying attention.","Infection or flu — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Gargle warm salt water. Stay hydrated. Try to rest, eat light meals, and stay hydrated. If sore throat keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Troat bin sore o scratchi. Diswan showim dat yu body bin chenj o stat sik smol long troat sore. Yu mas lukluk gud if im no go wey o kam bak gen.,"Flu o infection — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Gargle wit salt watta an drink plenti. Rest smol, drink plenti watta, an no stress. If troat sore no go wey o kam bak strong, yu beta go luk doktor blong help yu."
stomach pain,bel pain,"Pain or discomfort in the belly This can mean your body is reacting to changes or showing early signs of something affecting stomach pain. If it continues or becomes stronger, it’s worth paying attention.","Food issue or infection — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Eat light food and drink water. Try to rest, eat light meals, and stay hydrated. If stomach pain keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Bel bin pain from kai kai o sik. Diswan showim dat yu body bin chenj o stat sik smol long bel pain. Yu mas lukluk gud if im no go wey o kam bak gen.,"Food bin rong o infection — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Kai kai smol an drink watta. Rest smol, drink plenti watta, an no stress. If bel pain no go wey o kam bak strong, yu beta go luk doktor blong help yu."
dizziness,hed spin,"Feeling lightheaded or off balance This can mean your body is reacting to changes or showing early signs of something affecting dizziness. If it continues or becomes stronger, it’s worth paying attention.","Low blood pressure or tiredness — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Sit or lie down, drink water, and rest. Try to rest, eat light meals, and stay hydrated. If dizziness keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu feelim laik spin. Diswan showim dat yu body bin chenj o stat sik smol long hed spin. Yu mas lukluk gud if im no go wey o kam bak gen.,"Low blud presha o taiya — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Sidown, drink watta, an rest. Rest smol, drink plenti watta, an no stress. If hed spin no go wey o kam bak strong, yu beta go luk doktor blong help yu."
fatigue,taiya,"Feeling tired or lacking energy This can mean your body is reacting to changes or showing early signs of something affecting fatigue. If it continues or becomes stronger, it’s worth paying attention.","Stress, poor sleep, or anemia — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Rest and maintain regular meals. Try to rest, eat light meals, and stay hydrated. If fatigue keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu feelim taiya o no gat energy. Diswan showim dat yu body bin chenj o stat sik smol long taiya. Yu mas lukluk gud if im no go wey o kam bak gen.,"Stress o no slip gud o anemia — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Rest gud an kai kai propali. Rest smol, drink plenti watta, an no stress. If taiya no go wey o kam bak strong, yu beta go luk doktor blong help yu."
shortness of breath,breath short,"Difficulty breathing This can mean your body is reacting to changes or showing early signs of something affecting shortness of breath. If it continues or becomes stronger, it’s worth paying attention.","Asthma or heart issue — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Rest and get fresh air. Seek help if severe. Try to rest, eat light meals, and stay hydrated. If shortness of breath keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu breath hard o short. Diswan showim dat yu body bin chenj o stat sik smol long breath short. Yu mas lukluk gud if im no go wey o kam bak gen.,"Asthma o heart sik — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Rest an go klinik if bad. Rest smol, drink plenti watta, an no stress. If breath short no go wey o kam bak strong, yu beta go luk doktor blong help yu."
leg swelling,leg swel,"Swelling in one or both legs This can mean your body is reacting to changes or showing early signs of something affecting leg swelling. If it continues or becomes stronger, it’s worth paying attention.","Injury or kidney/heart problem — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Elevate legs and rest. Try to rest, eat light meals, and stay hydrated. If leg swelling keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Leg bin swel from sik o heart. Diswan showim dat yu body bin chenj o stat sik smol long leg swel. Yu mas lukluk gud if im no go wey o kam bak gen.,"Kidney o heart problem — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Lift leg an rest. Rest smol, drink plenti watta, an no stress. If leg swel no go wey o kam bak strong, yu beta go luk doktor blong help yu."
