symptom,order,question_en,question_kriol
fever,1,How long have you had fever?,Yu bin gat fever fo how long?
fever,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
fever,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
fever,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
cough,1,How long have you had cough?,Yu bin gat cough fo how long?
cough,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
cough,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
cough,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
sore throat,1,How long have you had sore throat?,Yu bin gat sore throat fo how long?
sore throat,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
sore throat,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
sore throat,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
chest pain,1,How long have you had chest pain?,Yu bin gat chest pain fo how long?
chest pain,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
chest pain,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
chest pain,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
shortness of breath,1,How long have you had shortness of breath?,Yu bin gat shortness of breath fo how long?
shortness of breath,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
shortness of breath,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
shortness of breath,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
fatigue,1,How long have you had fatigue?,Yu bin gat fatigue fo how long?
fatigue,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
fatigue,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
fatigue,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
dizziness,1,How long have you had dizziness?,Yu bin gat dizziness fo how long?
dizziness,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
dizziness,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
dizziness,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
runny nose,1,How long have you had runny nose?,Yu bin gat runny nose fo how long?
runny nose,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
runny nose,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
runny nose,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
headache,1,How long have you had headache?,Yu bin gat headache fo how long?
headache,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
headache,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
headache,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
vomiting,1,How long have you had vomiting?,Yu bin gat vomiting fo how long?
vomiting,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
vomiting,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
vomiting,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
diarrhea,1,How long have you had diarrhea?,Yu bin gat diarrhea fo how long?
diarrhea,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
diarrhea,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
diarrhea,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
chills,1,How long have you had chills?,Yu bin gat chills fo how long?
chills,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
chills,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
chills,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
rash,1,How long have you had rash?,Yu bin gat rash fo how long?
rash,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
rash,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
rash,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
back pain,1,How long have you had back pain?,Yu bin gat back pain fo how long?
back pain,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
back pain,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
back pain,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
joint pain,1,How long have you had joint pain?,Yu bin gat joint pain fo how long?
joint pain,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
joint pain,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
joint pain,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
itchy skin,1,How long have you had itchy skin?,Yu bin gat itchy skin fo how long?
itchy skin,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
itchy skin,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
itchy skin,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
leg swelling,1,How long have you had leg swelling?,Yu bin gat leg swelling fo how long?
leg swelling,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
leg swelling,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
leg swelling,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
abdominal cramps,1,How long have you had abdominal cramps?,Yu bin gat abdominal cramps fo how long?
abdominal cramps,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
abdominal cramps,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
abdominal cramps,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
nausea,1,How long have you had nausea?,Yu bin gat nausea fo how long?
nausea,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
nausea,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
nausea,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
loss of appetite,1,How long have you had loss of appetite?,Yu bin gat loss of appetite fo how long?
loss of appetite,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
loss of appetite,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
loss of appetite,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
burning urination,1,How long have you had burning urination?,Yu bin gat burning urination fo how long?
burning urination,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
burning urination,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
burning urination,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
ear pain,1,How long have you had ear pain?,Yu bin gat ear pain fo how long?
ear pain,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
ear pain,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
ear pain,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
eye pain,1,How long have you had eye pain?,Yu bin gat eye pain fo how long?
eye pain,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
eye pain,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
eye pain,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
blurry vision,1,How long have you had blurry vision?,Yu bin gat blurry vision fo how long?
blurry vision,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
blurry vision,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
