symptom,description_en,common_causes_en,advice_en,description_kriol,common_causes_kriol,advice_kriol
fever,Fever noted by patient.,Common infections (viral or bacterial).,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Fever we yu bin feelim.,Plenti taim sik (virus o bakteria).,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
cough,Cough noted by patient.,Common infections (viral or bacterial).,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Cough we yu bin feelim.,Plenti taim sik (virus o bakteria).,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
sore throat,Sore throat noted by patient.,Common infections (viral or bacterial).,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Sore throat we yu bin feelim.,Plenti taim sik (virus o bakteria).,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
chest pain,Chest pain noted by patient.,Cardio‑respiratory or fluid retention causes.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Chest pain we yu bin feelim.,Bada la heart o breath o bodi holim watta.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
shortness of breath,Shortness of breath noted by patient.,Cardio‑respiratory or fluid retention causes.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Shortness of breath we yu bin feelim.,Bada la heart o breath o bodi holim watta.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
fatigue,Fatigue noted by patient.,Non‑specific; check context and other symptoms.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Fatigue we yu bin feelim.,No klin yet; lukim nara sik tu.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
dizziness,Dizziness noted by patient.,Neurologic or circulation causes.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Dizziness we yu bin feelim.,Nerf o blud ran problem.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
runny nose,Runny nose noted by patient.,Common infections (viral or bacterial).,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Runny nose we yu bin feelim.,Plenti taim sik (virus o bakteria).,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
headache,Headache noted by patient.,Neurologic or circulation causes.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Headache we yu bin feelim.,Nerf o blud ran problem.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
vomiting,Vomiting noted by patient.,"Gastrointestinal irritation, food issues, or dehydration.","Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Vomiting we yu bin feelim.,"Bel bin irritet, kai kai rong, o no drink watta.","Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
diarrhea,Diarrhea noted by patient.,"Gastrointestinal irritation, food issues, or dehydration.","Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Diarrhea we yu bin feelim.,"Bel bin irritet, kai kai rong, o no drink watta.","Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
chills,Chills noted by patient.,Common infections (viral or bacterial).,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Chills we yu bin feelim.,Plenti taim sik (virus o bakteria).,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
rash,Rash noted by patient.,Local irritation or infection.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Rash we yu bin feelim.,Ples ia gat irritesen o infection.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
back pain,Back pain noted by patient.,Muscle/joint strain or inflammation.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Back pain we yu bin feelim.,Masol o joint bin strain o inflam.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
joint pain,Joint pain noted by patient.,Muscle/joint strain or inflammation.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Joint pain we yu bin feelim.,Masol o joint bin strain o inflam.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
itchy skin,Itchy skin noted by patient.,Local irritation or infection.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Itchy skin we yu bin feelim.,Ples ia gat irritesen o infection.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
