symptom,description_en,common_causes_en,advice_en,description_kriol,common_causes_kriol,advice_kriol
fever,Feeling hot or having a high temperature,Infection or flu,"Drink plenty of water and rest in a cool place. If fever stays above 39°C or more than 3 days, visit a clinic.","Yu body feelim hot, laik yu gat fever.",Sik o flu,Drink plenti watta an rest la kol ples. Go klinik if fever go high o stap moa den tri dei.
runny nose,Nose discharges mucus,Cold or allergy,"Use tissues gently, drink warm fluids, and keep warm. See a doctor if nose blocks for more than a week.",Nose bin ron wit snot.,Kol o dust allergy,"Yus tisyu lait lait, drink hot watta, an kepa yu body warm. Go klinik if nose block longtaim."
headache,Pain in the head or temples,"Stress, dehydration, or flu","Rest in a quiet, dark place and drink water. Avoid loud sounds or screens. Seek care if headaches are frequent.",Yu hed bin pain o laik bom bom.,Stress o no drink watta o flu,"Rest long kwaet ples, drink watta, no luk phone o lisin big nois. Go klinik if hed pain kam bak plenti taim."
cough,Air expelled from lungs repeatedly,"Cold, flu, or asthma",Sip warm tea with honey and avoid smoking or dusty air. Visit a doctor if you cough blood or over 2 weeks.,Yu cough plenti from flu o dust.,Flu o asthma o kol,"Drink hot tea wit honey, no smoke, no go dusty ples. Go klinik if cough stap moa den tu wik o gat blud."
sore throat,Pain or irritation in the throat,Infection or flu,Gargle warm salt water and drink fluids. Avoid shouting. Seek help if throat pain makes swallowing hard.,Troat bin sore o scratchi.,Flu o infection,"Gargle wit salt watta, drink plenti, no shout. Go klinik if troat pain mek yu no can swalow."
stomach pain,Pain or discomfort in the belly,Food issue or infection,Eat light food and avoid spicy meals. Rest and stay hydrated. Go to the clinic if pain is severe or lasts long.,Bel bin pain from kai kai o sik.,Food bin rong o infection,"Kai kai smol lite kai kai, no spicy, rest an drink watta. Go klinik if bel pain strong o stap longtaim."
dizziness,Feeling lightheaded or off balance,Low blood pressure or tiredness,Sit or lie down and take slow breaths. Drink water and avoid standing quickly. See a doctor if it repeats often.,Yu feelim laik spin.,Low blud presha o taiya,"Sidown, breathe slou, drink watta, no stan ap kwik. Go klinik if spin kam bak plenti taim."
fatigue,Feeling tired or lacking energy,"Stress, poor sleep, or anemia","Sleep early, eat nutritious food, and take short breaks. If tiredness doesn’t go away, get a health check.",Yu feelim taiya o no gat energy.,Stress o no slip gud o anemia,"Slip gud, kai kai propali kai kai, tek smol brek. Go klinik if taiya no go wei."
shortness of breath,Difficulty breathing,Asthma or heart issue,"Sit upright and take slow, deep breaths. Get fresh air and seek urgent care if breathing gets worse.",Yu breath hard o short.,Asthma o heart sik,"Sidown straight, breathe slou, go out fo fresh air. Go klinik kwik if breath kam moa bad."
leg swelling,Swelling in one or both legs,Injury or kidney/heart problem,Rest and raise your legs above heart level. Avoid standing too long. Visit clinic if swelling increases.,Leg bin swel from sik o heart.,Kidney o heart problem,"Rest, lift leg lilbit up, no stan longtaim. Go klinik if leg swel moa."
chest pain,Pain or tightness in the chest,Heart issue or muscle strain,Stop activity and rest. Seek medical help immediately if pain spreads to arm or jaw.,Yu chest bin pain o tait.,Heart sik o muscle strain,"Stop wok, rest, an go klinik kwik if pain go long arm o jaw."
back pain,Pain in lower or upper back,Heavy lifting or poor posture,"Stretch gently, use warm compress, and avoid lifting heavy things. Visit doctor if pain lasts more than a week.",Bak bin sore from lif hevi o wok longtaim.,Lif hevi o wok longtaim,"Stretch smol, put hot watta botol, no lif hevi samting. Go klinik if bak pain stap longtaim."
